tract_geoid,disasterNumber,fema_claims_total,fema_claims_total_log1p,fema_claims_pc,applications,fema_claims_mean,declaration,tsa_eligible_rate,owner_rate,renter_rate,acs_total_population,svi_total_population,population_for_pc,median_household_income,pct_poverty,pct_elderly,pct_children,pct_black,pct_hispanic,pct_no_vehicle,pct_limited_english,housing_units,pct_mobile_homes,pct_multi_unit,pct_crowded_housing,max_wind_mph,total_rainfall_in,min_distance_km,pct_floodplain,in_fema_decl,in_noaa_exposure,coverage_label,state_abbr,county_name,acs_state_fips,state_fips,area_sq_mi,noaa_distance_km,noaa_max_wind_kt,noaa_duration_hours,noaa_within_64kt,noaa_wind_source,noaa_lead_time_cat1,noaa_lead_time_cat2,noaa_lead_time_cat3,noaa_lead_time_cat4,noaa_lead_time_cat5
22007050600,4611,0.0,0.0,0.0,3,0.0,1,0.0,0.6666666666666666,0.3333333333333333,3863.0,3863.0,3863.0,46620.0,0.344,0.159,0.209,0.019,0.091,0.0289999999999999,0.013,1647.0,0.413,0.0,0.016,,,,,1,0,fema_only,LA,Assumption Parish,22.0,22.0,56.738938326072,51.144754022967575,55.290760438525865,0.5,False,rmw_decay_to_50kt,54.0,24.0,18.0,18.0,
22011960200,4611,0.0,0.0,0.0,2,0.0,1,0.5,1.0,0.0,5387.0,5387.0,5387.0,90071.0,0.127,0.131,0.217,0.105,0.031,0.031,0.0,2453.0,0.4,0.0,0.017,,,,,1,0,fema_only,LA,Beauregard Parish,22.0,22.0,124.399811108728,,,,,,,,,,
22015010702,4611,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,3723.0,3723.0,3723.0,44795.0,0.482,0.114,0.26,0.377,0.0969999999999999,0.0579999999999999,0.013,1640.0,0.0,0.052,0.024,,,,,1,0,fema_only,LA,Bossier Parish,22.0,22.0,0.771267316548,,,,,,,,,,
22015010808,4611,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,4711.0,4711.0,4711.0,78073.0,0.177,0.114,0.28,0.11,0.086,0.013,0.0,2001.0,0.0,0.0,0.0,,,,,1,0,fema_only,LA,Bossier Parish,22.0,22.0,1.946081879762,,,,,,,,,,
22015011107,4611,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,2081.0,2081.0,2081.0,61739.0,0.313,0.152,0.2339999999999999,0.3329999999999999,0.062,0.091,0.006,909.0,0.078,0.031,0.001,,,,,1,0,fema_only,LA,Bossier Parish,22.0,22.0,3.69396331715,,,,,,,,,,
22015011119,4611,0.0,0.0,0.0,1,0.0,1,1.0,1.0,0.0,4008.0,4008.0,4008.0,77962.0,0.191,0.128,0.172,0.2339999999999999,0.012,0.0,0.0,2064.0,0.04,0.087,0.0,,,,,1,0,fema_only,LA,Bossier Parish,22.0,22.0,7.758176444486,,,,,,,,,,
22017022101,4611,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,4207.0,4207.0,4207.0,34554.0,0.3,0.216,0.253,0.898,0.0,0.158,0.0,2481.0,0.018,0.267,0.0,,,,,1,0,fema_only,LA,Caddo Parish,22.0,22.0,1.890375855406,,,,,,,,,,
22017023300,4611,0.0,0.0,0.0,1,0.0,1,1.0,0.0,1.0,1679.0,1679.0,1679.0,21250.0,0.687,0.129,0.3329999999999999,0.955,0.03,0.262,0.033,1068.0,0.0,0.09,0.027,,,,,1,0,fema_only,LA,Caddo Parish,22.0,22.0,1.26567710518,,,,,,,,,,
22017024204,4611,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0,4910.0,4910.0,4910.0,61950.0,0.176,0.154,0.231,0.267,0.064,0.006,0.0,2050.0,0.258,0.052,0.057,,,,,1,0,fema_only,LA,Caddo Parish,22.0,22.0,25.412322053178,,,,,,,,,,
22019001000,4611,0.0,0.0,0.0,1,0.0,1,0.0,1.0,0.0,4162.0,4162.0,4162.0,54240.0,0.179,0.262,0.151,0.0559999999999999,0.067,0.1159999999999999,0.0,2304.0,0.018,0.061,0.0,,,,,1,0,fema_only,LA,Calcasieu Parish,22.0,22.0,1.455045850406,,,,,,,,,,
