tract_geoid,NAME,state_fips,total_population,median_household_income
48027023113,Census Tract 231.13; Bell County; Texas,48,4679,46392
48027023114,Census Tract 231.14; Bell County; Texas,48,4547,50712
48027023115,Census Tract 231.15; Bell County; Texas,48,5899,98455
48027023116,Census Tract 231.16; Bell County; Texas,48,6356,80225
48027023117,Census Tract 231.17; Bell County; Texas,48,5097,63438
48027023118,Census Tract 231.18; Bell County; Texas,48,7050,77991
48027023201,Census Tract 232.01; Bell County; Texas,48,1260,65625
48027023202,Census Tract 232.02; Bell County; Texas,48,4605,53814
48027023203,Census Tract 232.03; Bell County; Texas,48,1856,56385
48027023204,Census Tract 232.04; Bell County; Texas,48,4032,56563
48027023301,Census Tract 233.01; Bell County; Texas,48,5493,89351
48027023302,Census Tract 233.02; Bell County; Texas,48,3942,94219
48027023402,Census Tract 234.02; Bell County; Texas,48,5726,80000
48027023404,Census Tract 234.04; Bell County; Texas,48,4986,87292
48027023405,Census Tract 234.05; Bell County; Texas,48,3368,101050
48027023406,Census Tract 234.06; Bell County; Texas,48,3871,94167
48027023500,Census Tract 235; Bell County; Texas,48,1973,21216
48027980001,Census Tract 9800.01; Bell County; Texas,48,161,-666666666
48027980002,Census Tract 9800.02; Bell County; Texas,48,0,-666666666
48027980003,Census Tract 9800.03; Bell County; Texas,48,0,-666666666
48029110100,Census Tract 1101; Bexar County; Texas,48,3458,40069
48029110300,Census Tract 1103; Bexar County; Texas,48,2788,51757
48029110500,Census Tract 1105; Bexar County; Texas,48,2259,16607
48029110600,Census Tract 1106; Bexar County; Texas,48,6065,20599
48029110700,Census Tract 1107; Bexar County; Texas,48,876,18993
48029111000,Census Tract 1110; Bexar County; Texas,48,2461,52586
48029111100,Census Tract 1111; Bexar County; Texas,48,3926,67525
48029120100,Census Tract 1201; Bexar County; Texas,48,5534,85903
48029120301,Census Tract 1203.01; Bexar County; Texas,48,3415,114545
48029120302,Census Tract 1203.02; Bexar County; Texas,48,4002,230521
48029120401,Census Tract 1204.01; Bexar County; Texas,48,2695,74293
48029120402,Census Tract 1204.02; Bexar County; Texas,48,3070,250001
48029120502,Census Tract 1205.02; Bexar County; Texas,48,5244,44773
48029120503,Census Tract 1205.03; Bexar County; Texas,48,3890,48051
48029120504,Census Tract 1205.04; Bexar County; Texas,48,6294,55361
48029120601,Census Tract 1206.01; Bexar County; Texas,48,2554,58000
48029120602,Census Tract 1206.02; Bexar County; Texas,48,3659,84659
48029120701,Census Tract 1207.01; Bexar County; Texas,48,5790,62500
