tract_geoid,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate
12009065001,1,0.0,,0.0,1.0,0.0
12009065021,8,341.7,56.949999999999996,0.375,0.75,0.25
12009065022,2,0.0,,0.0,0.5,0.5
12009065121,4,0.0,0.0,0.0,0.25,0.75
12009065122,7,5100.0,2550.0,0.42857142857142855,0.14285714285714285,0.8571428571428571
12009065123,2,5100.0,2550.0,1.0,0.0,1.0
12009065124,2,0.0,0.0,0.0,1.0,0.0
12009065125,2,0.0,0.0,1.0,0.0,1.0
12009065201,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12009065202,4,0.0,,0.0,0.75,0.25
12009065234,3,0.0,,0.6666666666666666,1.0,0.0
12009065235,1,0.0,0.0,0.0,1.0,0.0
12009065236,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12009066101,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12009066104,2,0.0,0.0,0.0,1.0,0.0
12009066200,2,0.0,0.0,0.5,0.5,0.5
12009066301,2,0.0,0.0,0.5,1.0,0.0
12009066302,1,0.0,0.0,1.0,1.0,0.0
12009066400,4,341.7,113.89999999999999,0.25,0.75,0.25
12009066500,1,0.0,,1.0,1.0,0.0
12009066600,1,0.0,0.0,1.0,0.0,1.0
12009066700,2,0.0,,0.0,1.0,0.0
12009066800,3,341.7,170.85,0.3333333333333333,0.3333333333333333,0.6666666666666666
12009066900,1,0.0,0.0,1.0,0.0,1.0
12009068300,1,0.0,,0.0,0.0,1.0
12009068501,2,0.0,0.0,0.5,0.0,1.0
12009068502,4,341.7,113.89999999999999,0.0,0.25,0.75
12009068601,1,0.0,,1.0,0.0,1.0
12009068602,3,0.0,,0.6666666666666666,0.3333333333333333,0.6666666666666666
12009069100,3,0.0,,0.0,0.6666666666666666,0.3333333333333333
12009069300,3,0.0,,0.0,0.3333333333333333,0.6666666666666666
12009069400,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
12009069700,1,0.0,,1.0,1.0,0.0
12009069801,2,0.0,0.0,0.5,1.0,0.0
12009069901,8,0.0,0.0,0.375,0.75,0.25
12009069902,4,0.0,0.0,0.5,0.25,0.75
12009071100,1,0.0,,1.0,1.0,0.0
12009071200,9,0.0,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111
12009071322,4,0.0,0.0,0.0,0.5,0.5
12009071332,6,0.0,0.0,0.16666666666666666,0.5,0.5
12009071334,2,0.0,0.0,0.0,0.0,1.0
12009071335,5,341.7,341.7,0.6,0.8,0.2
12009071336,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
12009071337,8,0.0,0.0,0.5,0.75,0.25
12009071338,5,0.0,0.0,0.4,1.0,0.0
12009071339,3,0.0,,0.0,1.0,0.0
12009071340,12,0.0,,0.4166666666666667,0.5833333333333334,0.4166666666666667
12009071400,6,1025.1,341.7,0.8333333333333334,0.0,1.0
12009071500,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
12009071600,4,0.0,0.0,0.0,0.5,0.5
12011010102,2,0.0,,0.0,0.0,1.0
12011010104,2,0.0,0.0,0.5,0.0,1.0
12011010200,4,0.0,0.0,0.5,0.5,0.5
12011010304,4,0.0,0.0,0.5,0.0,1.0
12011010305,4,341.7,170.85,0.5,0.0,1.0
12011010306,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
12011010307,6,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666
