GEO_ID,NAME,B01003_001E,B19013_001E,state,county,tract,state_fips
1400000US48027020301,Census Tract 203.01; Bell County; Texas,9802,97401,48,027,020301,48
1400000US48027020302,Census Tract 203.02; Bell County; Texas,4922,72351,48,027,020302,48
1400000US48027020401,Census Tract 204.01; Bell County; Texas,3822,48330,48,027,020401,48
1400000US48027020402,Census Tract 204.02; Bell County; Texas,3181,49044,48,027,020402,48
1400000US48027020500,Census Tract 205; Bell County; Texas,3704,60551,48,027,020500,48
1400000US48027020600,Census Tract 206; Bell County; Texas,2885,73750,48,027,020600,48
1400000US48027020701,Census Tract 207.01; Bell County; Texas,1308,19252,48,027,020701,48
1400000US48027020702,Census Tract 207.02; Bell County; Texas,1644,32188,48,027,020702,48
1400000US48027020800,Census Tract 208; Bell County; Texas,3018,24600,48,027,020800,48
1400000US48027020900,Census Tract 209; Bell County; Texas,3275,33621,48,027,020900,48
1400000US48027021000,Census Tract 210; Bell County; Texas,3769,36892,48,027,021000,48
1400000US48027021101,Census Tract 211.01; Bell County; Texas,3032,58500,48,027,021101,48
1400000US48027021102,Census Tract 211.02; Bell County; Texas,3054,39432,48,027,021102,48
1400000US48027021201,Census Tract 212.01; Bell County; Texas,3770,57876,48,027,021201,48
1400000US48027021202,Census Tract 212.02; Bell County; Texas,3757,54442,48,027,021202,48
1400000US48027021203,Census Tract 212.03; Bell County; Texas,5045,46966,48,027,021203,48
1400000US48027021301,Census Tract 213.01; Bell County; Texas,6172,63125,48,027,021301,48
1400000US48027021302,Census Tract 213.02; Bell County; Texas,2615,74667,48,027,021302,48
1400000US48027021304,Census Tract 213.04; Bell County; Texas,5349,60632,48,027,021304,48
1400000US48027021305,Census Tract 213.05; Bell County; Texas,6238,102724,48,027,021305,48
1400000US48027021400,Census Tract 214; Bell County; Texas,4988,83884,48,027,021400,48
1400000US48027021501,Census Tract 215.01; Bell County; Texas,3808,42917,48,027,021501,48
1400000US48027021502,Census Tract 215.02; Bell County; Texas,4306,93549,48,027,021502,48
1400000US48027021601,Census Tract 216.01; Bell County; Texas,6112,42033,48,027,021601,48
