tract_geoid,disasterNumber,applications,ppfvl_sum,ppfvl_mean,tsa_eligible_rate,owner_rate,renter_rate,storm_name
12009063105,4337,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,Irma
12009063106,4337,2,0.0,0.0,0.0,1.0,0.0,Irma
12009063107,4337,1,0.0,0.0,0.0,1.0,0.0,Irma
12009064102,4337,1,0.0,,1.0,1.0,0.0,Irma
12009064123,4337,2,341.7,341.7,0.0,0.5,0.5,Irma
12009064124,4337,4,0.0,0.0,0.0,0.75,0.25,Irma
12009064125,4337,1,0.0,0.0,0.0,1.0,0.0,Irma
12009064126,4337,2,0.0,0.0,0.0,0.5,0.5,Irma
12009064127,4337,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12009064128,4337,5,0.0,0.0,0.2,1.0,0.0,Irma
12009064201,4337,2,0.0,,0.0,0.5,0.5,Irma
12009064202,4337,1,0.0,0.0,1.0,0.0,1.0,Irma
12009064301,4337,3,341.7,341.7,0.0,0.3333333333333333,0.6666666666666666,Irma
12009064302,4337,4,0.0,,0.5,0.75,0.25,Irma
12009064400,4337,1,0.0,0.0,0.0,1.0,0.0,Irma
12009064500,4337,4,0.0,,0.0,0.25,0.75,Irma
12009064601,4337,2,0.0,0.0,0.5,0.5,0.5,Irma
12009064602,4337,2,0.0,0.0,0.0,0.5,0.5,Irma
12009064700,4337,2,0.0,0.0,0.0,1.0,0.0,Irma
12009064901,4337,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,Irma
12009064902,4337,6,1927.8,642.6,0.5,0.6666666666666666,0.3333333333333333,Irma
12009065001,4337,1,0.0,,0.0,1.0,0.0,Irma
12009065021,4337,8,341.7,56.95,0.375,0.75,0.25,Irma
12009065022,4337,2,0.0,,0.0,0.5,0.5,Irma
12009065121,4337,4,0.0,0.0,0.0,0.25,0.75,Irma
12009065122,4337,7,5100.0,2550.0,0.4285714285714285,0.1428571428571428,0.8571428571428571,Irma
12009065123,4337,2,5100.0,2550.0,1.0,0.0,1.0,Irma
12009065124,4337,2,0.0,0.0,0.0,1.0,0.0,Irma
12009065125,4337,2,0.0,0.0,1.0,0.0,1.0,Irma
12009065201,4337,6,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12009065202,4337,4,0.0,,0.0,0.75,0.25,Irma
12009065234,4337,3,0.0,,0.6666666666666666,1.0,0.0,Irma
12009065235,4337,1,0.0,0.0,0.0,1.0,0.0,Irma
12009065236,4337,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12009066101,4337,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12009066104,4337,2,0.0,0.0,0.0,1.0,0.0,Irma
12009066200,4337,2,0.0,0.0,0.5,0.5,0.5,Irma
12009066301,4337,2,0.0,0.0,0.5,1.0,0.0,Irma
12009066302,4337,1,0.0,0.0,1.0,1.0,0.0,Irma
12009066400,4337,4,341.7,113.9,0.25,0.75,0.25,Irma
12009066500,4337,1,0.0,,1.0,1.0,0.0,Irma
12009066600,4337,1,0.0,0.0,1.0,0.0,1.0,Irma
12009066700,4337,2,0.0,,0.0,1.0,0.0,Irma
12009066800,4337,3,341.7,170.85,0.3333333333333333,0.3333333333333333,0.6666666666666666,Irma
12009066900,4337,1,0.0,0.0,1.0,0.0,1.0,Irma
12009068300,4337,1,0.0,,0.0,0.0,1.0,Irma
12009068501,4337,2,0.0,0.0,0.5,0.0,1.0,Irma
12009068502,4337,4,341.7,113.9,0.0,0.25,0.75,Irma
12009068601,4337,1,0.0,,1.0,0.0,1.0,Irma
12009068602,4337,3,0.0,,0.6666666666666666,0.3333333333333333,0.6666666666666666,Irma
12009069100,4337,3,0.0,,0.0,0.6666666666666666,0.3333333333333333,Irma
12009069300,4337,3,0.0,,0.0,0.3333333333333333,0.6666666666666666,Irma
12009069400,4337,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,Irma
12009069700,4337,1,0.0,,1.0,1.0,0.0,Irma
12009069801,4337,2,0.0,0.0,0.5,1.0,0.0,Irma
12009069901,4337,8,0.0,0.0,0.375,0.75,0.25,Irma
12009069902,4337,4,0.0,0.0,0.5,0.25,0.75,Irma
12009071100,4337,1,0.0,,1.0,1.0,0.0,Irma
12009071200,4337,9,0.0,0.0,0.1111111111111111,0.8888888888888888,0.1111111111111111,Irma
12009071322,4337,4,0.0,0.0,0.0,0.5,0.5,Irma
12009071332,4337,6,0.0,0.0,0.1666666666666666,0.5,0.5,Irma
12009071334,4337,2,0.0,0.0,0.0,0.0,1.0,Irma
